Country_State,Site,Component,Name_Nearest_City, Count_Building_Owned , Building_Owned_SqFt , Count_Bldgs_Leased ,Bldgs_Leased_SqFt, Count_Bldgs_Other , Bldgs_Other_SqFt , Acres_Owned , Total_Acres ,Plant_Replacement_Value_M,Latitude,Longitude,Lat_Long_Sources
Japan,KIN BLUE BEACH - 6020,Marine Corps Active,Onna Okinawa,0,0,0,0,0,0,0.00,94.23,$12.30,26.44340791,127.9382351,US_Base_Project_BSR-FY24_Lat-Long
Japan,KISARAZU-JGSDF-3033,Navy Active,Kisarazu,1,"7,488",0,0,10,"250,528",0.00,512.91,$696.63,35.3977871,139.9098405,US_Base_Project_BSR-FY24_Lat-Long
Japan,KOBI SHO RANGE-6084,Navy Active,Okinawa Island,0,0,0,0,0,0,0.00,216.01,$0.00,25.92351616,123.6822362,US_Base_Project_BSR-FY24_Lat-Long
Japan,KOSHIBA POL DEP-3113,Navy Active,Yokohama,0,0,0,0,0,0,0.00,325.83,$0.00,35.36866019,139.653413,US_Base_Project_BSR-FY24_Lat-Long
Japan,KYOGAMISAKI COMMUNICATION SITE,Army Active,Kyoto,13,"49,136",0,0,0,0,0.00,0.00,$113.01,35.76436159,135.196426,US_Base_Project_BSR-FY24_Lat-Long
Japan,MAEBATA-5033,Navy Active,Sasebo,35,"30,509",0,0,43,"304,824",0.00,143.84,$671.50,32.811859,131.108952,US_Base_Project_BSR-FY24_Lat-Long
Japan,MCAS FUTENMA-6051,Marine Corps Active,Futenma Marine Corps Air Stati,192,"1,015,737",0,0,63,"959,485",0.00,"1,176.04","$3,098.91",26.27565875,127.7588879,US_Base_Project_BSR-FY24_Lat-Long
Japan,MCAS IWAKUNI (JA) MAIN BASE,Marine Corps Active,Iwakuni,36,"117,163",0,0,891,"11,423,969",0.00,"7,110.64","$19,337.47",34.14407925,132.2362049,US_Base_Project_BSR-FY24_Lat-Long
Japan,MCB CAMP BUTLER (JA) CAMP FOSTER-6044,Marine Corps Active,Camp Foster Okinawa,499,"2,438,642",0,0,348,"5,673,439",0.00,"1,323.73","$10,593.36",26.29709745,127.7693271,US_Base_Project_BSR-FY24_Lat-Long
Japan,MISAWA AIR BASE,Air Force Active,Misawa Air Force Base,337,"818,960",0,0,695,"7,703,155",0.00,"3,864.42","$16,718.44",40.70795335,141.3624151,US_Base_Project_BSR-FY24_Lat-Long
Japan,MOMOTE ANNEX SITE 1,Air Force Active,Saitama Ken,0,0,0,0,1,"2,579",0.00,30.00,$8.14,35.77541501,139.6135492,US_Base_Project_BSR-FY24_Lat-Long
Japan,NAF ATSUGI JA,Navy Active,Atsugi,214,"476,516",0,0,281,"3,775,434",0.00,"1,233.60","$5,739.64",35.45447055,139.4425475,US_Base_Project_BSR-FY24_Lat-Long
Japan,NAGASAKA RIFL RNG-3104,Navy Active,Yokosuka,0,0,0,0,0,0,0.00,25.77,$0.00,35.79542711,138.3895161,US_Base_Project_BSR-FY24_Lat-Long
Japan,NEGISHI DH AREA-3066,Navy Active,Yokohama,57,"20,029",0,0,136,"459,356",0.00,117.82,$798.27,35.425278,139.628889,US_Base_Project_BSR-FY24_Lat-Long
Japan,OKIDAITO JIMA RNG-6088,Navy Active,Okinawa Island,0,0,0,0,0,0,0.00,283.00,$0.00,24.466667,131.183333,US_Base_Project_BSR-FY24_Lat-Long
Japan,OKUMA RECREATION ANX SITE 1,Air Force Active,Okuma Okinawa,51,"81,473",0,0,2,"14,261",0.00,135.00,$416.69,26.735918,128.15869,US_Base_Project_BSR-FY24_Lat-Long
Japan,OWADA COMMUNICATIONS STATION SITE 1,Air Force Active,Owada,1,185,0,0,1,"21,152",0.00,328.00,$45.71,35.781694,139.546194,US_Base_Project_BSR-FY24_Lat-Long
Japan,Sagami General Depot,Army Active,Sagamihara,30,"112,666",0,0,119,"2,815,865",0.00,528.35,"$3,522.28",35.58772475,139.3733413,US_Base_Project_BSR-FY24_Lat-Long
Japan,Sagamihara Family Housing Area,Army Active,Sagamihara,10,"11,854",0,0,204,"1,116,513",0.00,149.22,"$1,311.66",35.52412495,139.4190411,US_Base_Project_BSR-FY24_Lat-Long
Japan,SANNO HOTEL TOKYO-3185,Navy Active,Tokyo,2,774,0,0,1,"236,710",0.00,1.79,$165.15,35.6471888,139.724825,US_Base_Project_BSR-FY24_Lat-Long
